Alg,Set_Num,Rep_num,Fitness,Seconds,tokeep,samples
mimic,0,2580,72.0,0.0142137,0.1,30
mimic,0,2590,72.0,0.0146847,0.1,30
mimic,0,2600,72.0,0.0144973,0.1,30
mimic,0,2610,74.0,0.0146455,0.1,30
mimic,0,2620,72.0,0.0143092,0.1,30
mimic,0,2630,74.0,0.0133351,0.1,30
mimic,0,2640,74.0,0.0136606,0.1,30
mimic,0,2650,74.0,0.0143577,0.1,30
mimic,0,2660,74.0,0.0149362,0.1,30
mimic,0,2670,74.0,0.0144903,0.1,30
mimic,0,2680,74.0,0.0137327,0.1,30
mimic,0,2690,74.0,0.0170337,0.1,30
mimic,0,2700,74.0,0.0154285,0.1,30
mimic,0,2710,74.0,0.0141322,0.1,30
mimic,0,2720,74.0,0.0136013,0.1,30
mimic,0,2730,74.0,0.0145658,0.1,30
mimic,0,2740,74.0,0.0145353,0.1,30
mimic,0,2750,74.0,0.0144115,0.1,30
mimic,0,2760,74.0,0.0151767,0.1,30
mimic,0,2770,74.0,0.0142162,0.1,30
mimic,0,2780,74.0,0.0158026,0.1,30
mimic,0,2790,74.0,0.0131699,0.1,30
mimic,0,2800,74.0,0.0143222,0.1,30
mimic,0,2810,74.0,0.0140839,0.1,30
mimic,0,2820,74.0,0.0137736,0.1,30
mimic,0,2830,74.0,0.01554,0.1,30
mimic,0,2840,74.0,0.0157628,0.1,30
mimic,0,2850,74.0,0.013661,0.1,30
mimic,0,2860,74.0,0.0148771,0.1,30
mimic,0,2870,75.0,0.0141973,0.1,30
mimic,0,2880,75.0,0.0136255,0.1,30
mimic,0,2890,75.0,0.0142254,0.1,30
mimic,0,2900,75.0,0.0134618,0.1,30
mimic,0,2910,75.0,0.0139737,0.1,30
mimic,0,2920,75.0,0.0142396,0.1,30
mimic,0,2930,75.0,0.0134492,0.1,30
mimic,0,2940,75.0,0.0141296,0.1,30
mimic,0,2950,75.0,0.017052,0.1,30
mimic,0,2960,75.0,0.014083,0.1,30
mimic,0,2970,75.0,0.0138221,0.1,30
mimic,0,2980,75.0,0.0137434,0.1,30
mimic,0,2990,75.0,0.014124,0.1,30
mimic,0,3000,75.0,0.014403,0.1,30
mimic,0,3010,75.0,0.0145539,0.1,30
mimic,0,3020,75.0,0.0139236,0.1,30
mimic,0,3030,75.0,0.016591,0.1,30
mimic,0,3040,75.0,0.0144886,0.1,30
mimic,0,3050,75.0,0.0153742,0.1,30
mimic,0,3060,73.0,0.0141422,0.1,30
mimic,0,3070,73.0,0.0137202,0.1,30
mimic,0,3080,73.0,0.0150005,0.1,30
mimic,0,3090,73.0,0.0138462,0.1,30
mimic,0,3100,71.0,0.0145525,0.1,30
mimic,0,3110,73.0,0.0147126,0.1,30
mimic,0,3120,71.0,0.0141926,0.1,30
mimic,0,3130,71.0,0.0143322,0.1,30
mimic,0,3140,71.0,0.0147967,0.1,30
mimic,0,3150,73.0,0.0142564,0.1,30
mimic,0,3160,71.0,0.0139256,0.1,30
mimic,0,3170,71.0,0.0144412,0.1,30
mimic,0,3180,71.0,0.0136061,0.1,30
mimic,0,3190,71.0,0.0146842,0.1,30
mimic,0,3200,71.0,0.014073,0.1,30
mimic,0,3210,71.0,0.0136135,0.1,30
mimic,0,3220,73.0,0.0142831,0.1,30
mimic,0,3230,71.0,0.013752,0.1,30
mimic,0,3240,71.0,0.0132258,0.1,30
mimic,0,3250,71.0,0.0144358,0.1,30
mimic,0,3260,71.0,0.0144971,0.1,30
mimic,0,3270,74.0,0.0164103,0.1,30
mimic,0,3280,74.0,0.0167936,0.1,30
mimic,0,3290,74.0,0.014397,0.1,30
mimic,0,3300,74.0,0.0150898,0.1,30
mimic,0,3310,74.0,0.0139741,0.1,30
mimic,0,3320,74.0,0.0160241,0.1,30
mimic,0,3330,74.0,0.0149246,0.1,30
mimic,0,3340,74.0,0.0141419,0.1,30
mimic,0,3350,74.0,0.0165027,0.1,30
mimic,0,3360,74.0,0.0158925,0.1,30
mimic,0,3370,74.0,0.0201005,0.1,30
mimic,0,3380,74.0,0.0143993,0.1,30
mimic,0,3390,74.0,0.0151481,0.1,30
mimic,0,3400,74.0,0.0162637,0.1,30
mimic,0,3410,74.0,0.0160511,0.1,30
mimic,0,3420,74.0,0.0163667,0.1,30
mimic,0,3430,74.0,0.0181787,0.1,30
mimic,0,3440,74.0,0.0162231,0.1,30
mimic,0,3450,74.0,0.0270379999999,0.1,30
mimic,0,3460,74.0,0.0203769,0.1,30
mimic,0,3470,74.0,0.0151154,0.1,30
mimic,0,3480,74.0,0.0141196,0.1,30
mimic,0,3490,74.0,0.0209414,0.1,30
mimic,1,0,57.0,0.021061,0.1,30
mimic,1,10,61.0,0.0167319,0.1,30
mimic,1,20,64.0,0.0145282,0.1,30
mimic,1,30,64.0,0.016179,0.1,30
mimic,1,40,66.0,0.0148261000001,0.1,30
mimic,1,50,67.0,0.0168242,0.1,30
mimic,1,60,68.0,0.0146113,0.1,30
mimic,1,70,70.0,0.0154674,0.1,30
mimic,1,80,68.0,0.0147674,0.1,30
mimic,1,90,68.0,0.0154638,0.1,30
mimic,1,100,70.0,0.0147919,0.1,30
mimic,1,110,70.0,0.0144025,0.1,30
mimic,1,120,68.0,0.0160811,0.1,30
mimic,1,130,70.0,0.014939,0.1,30
mimic,1,140,72.0,0.0159513999999,0.1,30
mimic,1,150,72.0,0.0159795,0.1,30
mimic,1,160,70.0,0.0219269999999,0.1,30
mimic,1,170,70.0,0.0178222,0.1,30
mimic,1,180,72.0,0.0148426,0.1,30
mimic,1,190,72.0,0.0138009,0.1,30
mimic,1,200,72.0,0.0150084,0.1,30
mimic,1,210,72.0,0.0141916,0.1,30
mimic,1,220,72.0,0.0131769,0.1,30
mimic,1,230,72.0,0.0143939,0.1,30
mimic,1,240,72.0,0.0148453,0.1,30
mimic,1,250,72.0,0.0145704,0.1,30
mimic,1,260,72.0,0.013511,0.1,30
mimic,1,270,72.0,0.0146685,0.1,30
mimic,1,280,72.0,0.0156953,0.1,30
mimic,1,290,72.0,0.0150621,0.1,30
mimic,1,300,72.0,0.0134147,0.1,30
mimic,1,310,72.0,0.0141881,0.1,30
mimic,1,320,70.0,0.0142933,0.1,30
mimic,1,330,70.0,0.0145891,0.1,30
mimic,1,340,70.0,0.0148785,0.1,30
mimic,1,350,70.0,0.0139955,0.1,30
mimic,1,360,70.0,0.013885,0.1,30
mimic,1,370,70.0,0.0153315,0.1,30
mimic,1,380,70.0,0.0137612,0.1,30
mimic,1,390,70.0,0.0154294,0.1,30
mimic,1,400,70.0,0.0144079,0.1,30
mimic,1,410,70.0,0.0141571,0.1,30
mimic,1,420,70.0,0.0146517,0.1,30
mimic,1,430,70.0,0.0137748,0.1,30
mimic,1,440,72.0,0.0145305,0.1,30
mimic,1,450,70.0,0.0158089,0.1,30
mimic,1,460,70.0,0.0143333,0.1,30
mimic,1,470,70.0,0.0147159,0.1,30
mimic,1,480,74.0,0.0149882,0.1,30
mimic,1,490,72.0,0.0179565,0.1,30
mimic,1,500,72.0,0.0140357,0.1,30
mimic,1,510,74.0,0.0135813,0.1,30
mimic,1,520,74.0,0.0139751,0.1,30
mimic,1,530,74.0,0.0155405,0.1,30
mimic,1,540,74.0,0.0130447,0.1,30
mimic,1,550,74.0,0.0156023,0.1,30
mimic,1,560,72.0,0.0140064,0.1,30
mimic,1,570,74.0,0.0137004,0.1,30
mimic,1,580,74.0,0.0147352,0.1,30
mimic,1,590,74.0,0.0137918,0.1,30
mimic,1,600,74.0,0.0143418,0.1,30
mimic,1,610,74.0,0.0137766,0.1,30
mimic,1,620,74.0,0.0149303,0.1,30
